scheme,figureId,figureDirectory,figureTitle,sourceCsv,sourceStage,configurationIds,comparisonType,xVariable,yVariable,burstRatio,burstPosition,EsN0Role,containsNoBurstBaseline,containsLdpcBaseline,controlledVariables,varyingVariables,scientificQuestion,supportedConclusion,unsupportedConclusion,recommendedChapterSection,recommendedLayout,importanceLevel,notes
BCH,11_absoluteFerImprovement,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\11_absoluteFerImprovement,BCH 5%突发FER绝对改善量,N/A,N/A,N/A,CONTROLLED_METHOD_COMPARISON,符号信噪比 Es/N0（dB）,FER绝对改善量,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;行列交织 rows=15,What mechanism or engineering tradeoff does this BCH result support?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.5/9.3.6,SINGLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,12_relativeFerReductionPercent,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\12_relativeFerReductionPercent,BCH 5%突发FER相对降低率,N/A,N/A,N/A,CONTROLLED_METHOD_COMPARISON,符号信噪比 Es/N0（dB）,FER相对降低率（%）,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;行列交织 rows=15,What mechanism or engineering tradeoff does this BCH result support?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.5/9.3.6,SINGLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,13_target_fer_esn0_gain,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\13_target_fer_esn0_gain,BCH 目标 FER 下 Es/N0 改善,N/A,N/A,N/A,CONTROLLED_METHOD_COMPARISON,配置或类别,Es/N0 改善（dB）,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;行列交织 rows=15,What mechanism or engineering tradeoff does this BCH result support?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.5/9.3.6,SINGLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,14_affected_bch_blocks,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\14_affected_bch_blocks,BCH 受影响子块数,N/A,N/A,N/A,MECHANISM_EVIDENCE,符号信噪比 Es/N0（dB）,平均受影响 BCH 子块数,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,行列交织 rows=15,What mechanism or engineering tradeoff does this BCH result support?,"BCH interleaving changes the spatial distribution of channel errors across BCH(15,11,1) subblocks.","Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.4/9.3.4/9.3.5,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,15_max_errors_per_block,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\15_max_errors_per_block,BCH 单块最大错误数,N/A,N/A,N/A,MECHANISM_EVIDENCE,符号信噪比 Es/N0（dB）,单个 BCH 子块最大错误数,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,行列交织 rows=15,What mechanism or engineering tradeoff does this BCH result support?,"BCH interleaving changes the spatial distribution of channel errors across BCH(15,11,1) subblocks.","Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.4/9.3.4/9.3.5,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,16_decodeTimeMeanNsWeighted,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\16_decodeTimeMeanNsWeighted,BCH 纯译码 CPU 时间（含无突发 AWGN 基线）,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage13_latency_complexity,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,CPU_TIME_REFERENCE,配置或类别,纯译码时间（ns）,"0;2%,5%,10% weighted",N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,What CPU software timing evidence is available for BCH or the no-burst baseline?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.6/9.3.7/9.5,TRIPLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,17_interleaveTimeMeanNsWeighted,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\17_interleaveTimeMeanNsWeighted,BCH 交织 CPU 时间,N/A,N/A,N/A,CPU_TIME_REFERENCE,配置或类别,交织时间（ns）,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,What CPU software timing evidence is available for BCH or the no-burst baseline?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.6/9.3.7/9.5,TRIPLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,18_deinterleaveTimeMeanNsWeighted,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\18_deinterleaveTimeMeanNsWeighted,BCH 解交织 CPU 时间,N/A,N/A,N/A,CPU_TIME_REFERENCE,配置或类别,解交织时间（ns）,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,What CPU software timing evidence is available for BCH or the no-burst baseline?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.6/9.3.7/9.5,TRIPLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,19_bufferBits,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\19_bufferBits,BCH 交织缓冲量,N/A,N/A,N/A,BUFFER_COST,配置或类别,缓冲量（bit）,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,What structural buffering depth is required by each BCH interleaver?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.6/9.3.7,TABLE_REPLACEMENT,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,20_burst_tolerance,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\20_burst_tolerance,BCH 高工作点突发容限,N/A,N/A,N/A,BURST_TOLERANCE,配置或类别,最坏位置误帧率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How does BCH performance change as contiguous burst length changes?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.5/9.3.6,SINGLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,21_all_start_heatmap_2_percent,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\21_all_start_heatmap_2_percent,BCH 2%突发全起点热力图,N/A,N/A,N/A,MECHANISM_EVIDENCE,突发起点（编码 bit，零基）,交织配置,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,SINGLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,22_all_start_heatmap_5_percent,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\22_all_start_heatmap_5_percent,BCH 5%突发全起点热力图,N/A,N/A,N/A,MECHANISM_EVIDENCE,突发起点（编码 bit，零基）,交织配置,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,SINGLE,B,Evidence maps to existing Stage15 figure data and manifest.
BCH,22_burst_5_ber,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\22_burst_5_ber,BCH 5%突发下不同交织配置误码率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BURST_LENGTH_COMPARISON,符号信噪比 Es/N0（dB）,误码率,0;0.05,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How does BCH performance change as contiguous burst length changes?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.2/9.3.2,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,23_burst_10_ber,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\23_burst_10_ber,BCH 10%突发下不同交织配置误码率,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\BCH\simulation\stages\S1\stage07_awgn_dense_formal\published_results\stage07_awgn_dense_formal_results.csv;C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,BCH_S1_stage07_awgn_dense_formal;S7_stage10_bch_formal,BCH_CODEBLOCK_D19;BCH_GLOBAL_PSEUDO_285;BCH_NONE;BCH_ROW_COLUMN_R15;NO_BURST_AWGN,BURST_LENGTH_COMPARISON,符号信噪比 Es/N0（dB）,误码率,0;0.1,N/A,x-axis or source grid; original grid preserved,true,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;无突发信道（AWGN）;行列交织 rows=15,How does BCH performance change as contiguous burst length changes?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.2/9.3.2,SINGLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,24_mean_position_ber,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\24_mean_position_ber,BCH 5%突发平均位置误码率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误码率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,TRIPLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,25_max_position_ber,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\25_max_position_ber,BCH 5%突发最坏位置误码率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误码率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,TRIPLE,A,Evidence maps to existing Stage15 figure data and manifest.
BCH,26_min_position_ber,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\bch\26_min_position_ber,BCH 5%突发最好位置误码率,N/A,N/A,N/A,POSITION_SENSITIVITY,符号信噪比 Es/N0（dB）,误码率,N/A,N/A,x-axis or source grid; original grid preserved,false,false,payload; S7 formal config hash; shared frame sequence within comparison group; no interpolation; no smoothing,BCH码块交织 D=19;全帧伪随机交织;无交织;行列交织 rows=15,How sensitive is BCH to burst start/position?,Use this figure as bounded evidence for the frozen BCH S7 configuration set.,"Do not claim interleaving changes the code's intrinsic error-correction capability. Do not extrapolate beyond the frozen S7 configurations. Do not generalize from segmented BCH(15,11,1) to all BCH codes.",9.3.3/9.3.3,TRIPLE,A,Evidence maps to existing Stage15 figure data and manifest.
