figureFile,stage,metric,xAxis,yAxis,comparison,figureDataCsv,languageStatus,authorityStatus,hasOldVersion,chapterUse,appendixUse,actionNeeded,notes
stage15_slot_hard_fer.png,Stage15,FER,"Es/N0 (dB)",FER,"Block300/50x6/100x3/150x2 Hard","figure_data/stage15_slot_hard_fer.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","Hard时隙补充结果"
stage15_slot_soft_goodput.png,Stage15,normalizedGoodput,"Es/N0 (dB)",normalizedGoodput,"Soft四组织与三码率","figure_data/stage15_slot_soft_goodput.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","吞吐补充图；需同时说明不同码率非同净吞吐公平比较"
stage13_control_w_ber_fer.png,Stage13,"BER/FER","Es/N0 (dB)","BER/FER","W=96/128/160/192;固定S16/D70","figure_data/stage13_control_w_ber_fer.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","附录控制变量细图"
stage13_control_s_ber_fer.png,Stage13,"BER/FER","Es/N0 (dB)","BER/FER","S=8/16/25/50;固定W160/D70","figure_data/stage13_control_s_ber_fer.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","附录控制变量细图"
stage13_control_d_ber_fer.png,Stage13,"BER/FER","Es/N0 (dB)","BER/FER","D=35/49/70/84/98/112;固定W160/S16","figure_data/stage13_control_d_ber_fer.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","附录控制变量细图"
stage13_delay_reliability_pareto.png,Stage13,"时延-可靠性Pareto","首输出时延(symbols)","相对Block FER增幅","Stage13候选","figure_data/stage13_delay_reliability_pareto.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","附录候选筛选证据"
stage14_r12_boundary_relative_ber.png,Stage14,"边界相对BER","相对slot边界offset(bit)",BER,"连续时隙offset","figure_data/stage14_r12_boundary_relative_ber.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","边界统计受错误数影响；不得过度解释"
stage14_r23_boundary_relative_ber.png,Stage14,"边界相对BER","相对slot边界offset(bit)",BER,"连续时隙offset","figure_data/stage14_r23_boundary_relative_ber.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","边界统计受错误数影响；不得过度解释"
stage14_r34_boundary_relative_ber.png,Stage14,"边界相对BER","相对slot边界offset(bit)",BER,"连续时隙offset","figure_data/stage14_r34_boundary_relative_ber.csv",ENGLISH,CURRENT_FORMAL,YES,NO,YES,"基于figure_data中文重绘","边界统计受错误数影响；不得过度解释"
"archive/**;Stage08过程图;临时/历史PNG",Legacy,"N/A","N/A","N/A","N/A","N/A",MIXED,NON_AUTHORITATIVE,YES,NO,NO,"禁止用于正文或附录","只保留审计历史；不得因文件名含final/formal即提升权威"
